num_pages,total_words,total_characters,avg_sentence_length,header_count,footer_count,table_count,image_count,signature_count,stamp_count,person_count,org_count,location_count,date_count,money_count,court_count,judge_count,law_count,case_number_count,aadhaar_count,pan_count,passport_count,driving_license_count,voter_id_count,email_count,phone_count,address_count,bank_account_count,credit_card_count,ifsc_count,upi_count,language_encoded,is_encrypted,has_digital_signature,has_producer,has_author,document_type_encoded,critical_count,high_count,medium_count,low_count,avg_confidence,max_confidence,pii_density,entity_density,risk_density,critical_ratio,avg_entities_per_page,avg_pii_per_page,doc_length_category,contains_gov_id,contains_financial_data,contains_legal_terms,contains_personal_data,document_type,sensitivity_label
2,369,2599,14.19,0,0,0,0,0,0,3,19,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,5,37,0.767,1.0,16.2602,89.4309,124.6612,0.0435,16.5,3.0,1,1,1,1,1,Real,Confidential
2,369,2599,14.19,0,0,0,0,0,0,3,19,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,5,37,0.767,1.0,16.2602,89.4309,124.6612,0.0435,16.5,3.0,1,1,1,1,1,Real,Confidential
2,369,2599,14.19,0,0,0,0,0,0,3,19,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,5,37,0.767,1.0,16.2602,89.4309,124.6612,0.0435,16.5,3.0,1,1,1,1,1,Real,Confidential
2,369,2599,14.19,0,0,0,0,0,0,3,19,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,5,37,0.767,1.0,16.2602,89.4309,124.6612,0.0435,16.5,3.0,1,1,1,1,1,Real,Confidential
2,369,2599,14.19,0,0,0,0,0,0,3,19,4,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,5,37,0.767,1.0,16.2602,89.4309,124.6612,0.0435,16.5,3.0,1,1,1,1,1,Real,Confidential
2,369,2599,14.19,0,0,0,0,0,0,6,19,4,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,2,2,6,40,0.7788,1.0,18.9702,100.271,135.5014,0.04,18.5,3.5,1,1,1,1,1,Real,Confidential
1,67,489,7.44,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,2,1,11,0.83,1.0,59.7015,164.1791,223.8806,0.0667,11.0,4.0,1,1,1,0,1,Real,Confidential
1,45,334,11.25,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2,2,1,0,12,0.7773,0.95,66.6667,244.4444,333.3333,0.1333,11.0,3.0,1,1,1,0,1,Real,Confidential
1,41,285,10.25,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,3,0.85,0.85,0.0,73.1707,73.1707,0.0,3.0,0.0,1,0,0,0,0,Real,Public
1,29,223,3.62,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,4,1,2,2,8,0.72,1.0,172.4138,310.3448,448.2759,0.0769,9.0,5.0,1,0,1,0,1,Real,Confidential
1,35,238,8.75,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,1,1,1,8,0.7782,0.95,57.1429,200.0,314.2857,0.0909,7.0,2.0,1,1,0,0,1,Real,Confidential
1,32,240,4.0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,0,0,0,3,0.85,0.85,0.0,93.75,93.75,0.0,3.0,0.0,1,0,0,0,1,Real,Public
1,46,279,6.57,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,0,0,1,8,0.8667,0.95,0.0,130.4348,195.6522,0.0,6.0,0.0,1,0,0,1,1,Real,Public
1,17,99,8.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0.85,0.85,0.0,176.4706,176.4706,0.0,3.0,0.0,1,0,0,0,0,Real,Public
101,1115,6385,11.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0.85,0.85,0.0,0.8969,0.8969,0.0,0.0099,0.0,2,0,0,0,0,Real,Public
